CODIGO_DA_IES,NOME_DA_IES,SIGLA,ORGANIZACAO_ACADEMICA,MUNICIPIO,UF,SITUACAO_IES
5265,FACULDADE METROPOLITANA SÃO CARLOS,null,Faculdade,Quissamã,RJ,Extinta
22074,FACULDADE METROPOLITANA NORTE RIOGRANDENSE,FAMEN,Faculdade,Natal,RN,Ativa
24966,Faculdade Uniavan Rio do Sul,Uniavan,Faculdade,Rio do Sul,SC,Ativa
21573,Faculdade Ana Carolina Puga,FAPUGA,Faculdade,São Paulo,SP,Ativa
22703,FACULDADE PITÁGORAS DE CONCÓRDIA,,Faculdade,Concórdia,SC,Ativa
19369,Faculdade CEAM,CEAM,Faculdade,Recife,PE,Ativa
18672,Unama Faculdade da Amazônia de Macapá,null,Faculdade,Macapá,AP,Ativa
1652,FACULDADE DE VITÓRIA,null,Faculdade,Vitória,ES,Ativa
107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Universidade,São João del Rei,MG,Ativa
1562,FACULDADE DE ILHA SOLTEIRA,FAISA,Faculdade,Ilha Solteira,SP,Ativa
3279,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUDESTE DE MINAS GERAIS",IFSEMG,"Instituto Federal de Educação, Ciência e Tecnologia",Juiz de Fora,MG,Ativa
23876,FACULDADE MONSENHOR HIPOLITO,FMH,Faculdade,Picos,PI,Ativa
21924,Faculdade Anhanguera de Assis,,Faculdade,Assis,SP,Extinta
1518,FACULDADE ANHANGUERA DE TAGUATINGA,null,Faculdade,Brasília,DF,Ativa
21998,Faculdade Pan-Americana de Administração e Direito,FAPAD,Faculdade,Curitiba,PR,Ativa
1839,FACULDADES INTEGRADAS DE VÁRZEA GRANDE,FIAVEC,Faculdade,Várzea Grande,MT,Extinta
4962,CENTRO UNIVERSITÁRIO DE SETE LAGOAS,UNIFEMM,Centro Universitário,Sete Lagoas,MG,Ativa
874,FACULDADE DE ESTUDOS SOCIAIS APLICADOS DE VIANA,FESAV,Faculdade,Viana,ES,Ativa
944,ESCOLA SUPERIOR DE PROPAGANDA E MARKETING DO RIO DE JANEIRO,ESPM,Faculdade,Rio de Janeiro,RJ,Ativa
2484,Centro Universitário Processus,UNIPROCESSUS,Centro Universitário,Brasília,DF,Ativa
2477,FACULDADE DE ADMINISTRAÇÃO DE MARIANA,FAMA,Faculdade,Mariana,MG,Ativa
25763,Faculdade Leonardo da Vinci de Belo Horizonte,,Faculdade,Belo Horizonte,MG,Ativa
12136,FACULDADE DE TECNOLOGIA DO RIO DE JANEIRO,FATERJ,Faculdade,Rio de Janeiro,RJ,Extinta
5473,FACULDADE DE CIÊNCIAS E TECNOLOGIA DA BAHIA,FACITE,Faculdade,Santa Maria da Vitória,BA,Ativa
17830,Faculdade Católica de Abaetetuba,FCAB,Faculdade,Abaetetuba,PA,Ativa
22145,Faculdade de Ciências Jurídicas de Erechim,,Faculdade,Erechim,RS,Ativa
13466,GRUPO DE NUTRIÇÃO HUMANA,GANEP,Instituição Especialmente Credenciada para oferta de cursos lato sensu,São Paulo,SP,Ativa
1671,FACULDADE DE ENSINO UNIFICADO DE BELO HORIZONTE,FEUBH,Faculdade,Belo Horizonte,MG,Extinta
1709,Centro Universitário Tiradentes de Pernambuco,UNIT PE,Centro Universitário,Recife,PE,Ativa
21262,FACULDADE REGIONAL JAGUARIBANA,FRJ,Faculdade,Alto Santo,CE,Ativa
25181,FACULDADE ALPHAVILLE,FAVI,Faculdade,Osasco,SP,Ativa
4017,CENTRO UNIVERSITÁRIO PADRE ANCHIETA,UNIANCHIETA,Centro Universitário,Jundiaí,SP,Ativa
14128,Faculdade Presidente Antônio Carlos de Vazante,FEES Vazante,Faculdade,Vazante,MG,Extinta
11376,FACULDADE VILLA-LOBOS DO CONE-LESTE PAULISTA,FAV-COLESP,Faculdade,São José dos Campos,SP,Extinta
22119,ESCOLA DE DIREITO FUCAPE,FUCAPE DIREITO,Faculdade,Vitória,ES,Ativa
264,UNIVERSIDADE SÃO MARCOS,USM,Universidade,São Paulo,SP,Extinta
15562,Faculdade Batista do Cariri,FBC,Faculdade,Crato,CE,Ativa
780,UNIVERSIDADE DE CUIABÁ,UNIC/UNIME,Universidade,Cuiabá,MT,Ativa
1891,Faculdade Sartre COC,FACOC SALVADOR,Faculdade,Salvador,BA,Extinta
1414,CENTRO UNIVERSITÁRIO SÃO LUCAS,UniSL,Centro Universitário,Porto Velho,RO,Ativa
24205,Faculdade Soberana de Arapiraca,Soberana,Faculdade,Arapiraca,AL,Ativa
1478,FACULDADE ANHANGUERA DE SÃO BERNARDO,null,Faculdade,São Bernardo do Campo,SP,Ativa
16781,Faculdade Rio Sono,riso,Faculdade,Pedro Afonso,TO,Ativa
